Freelancer_ID,Skills,Completed_Projects,Hourly_Rate,Experience,Availability
F1,"Tableau, Figma, Bootstrap, AWS, SQL","Website Development, Portfolio Website",29,"UI/UX Designer at VWX, Graphic Designer at GHI",1 Week
F2,"Java, Cloud Computing",SEO Optimization,76,"Machine Learning Engineer at STU, Graphic Designer at GHI",1 Week
F3,"Blockchain, Cybersecurity, DevOps, Spark, SQL","Branding Strategy, Blockchain Implementation, Website Development",33,Cloud Engineer at MNO,1 Month
F4,"SEO, React, AWS, UI/UX Design, Angular","Blockchain Implementation, Website Development, SEO Optimization",39,"Machine Learning Engineer at STU, Data Analyst at ABC, Software Engineer at XYZ",3 Months
F5,"Flask, PyTorch","Portfolio Website, Logo Design",85,"DevOps Engineer at PQR, Machine Learning Engineer at STU",1 Month
F6,"Docker, Django, Cybersecurity, Flask, C++",Website Development,44,Web Developer at DEF,2 Weeks
F7,"Tailwind, Django, Python",Cybersecurity Audit,49,"DevOps Engineer at PQR, Data Analyst at ABC",3 Months
F8,"Spark, Tailwind, PHP, Adobe Illustrator, Hadoop","Portfolio Website, Mobile App Development, Dashboard Creation",22,"Graphic Designer at GHI, Web Developer at DEF, Data Analyst at ABC",3 Months
F9,"Angular, Swift, Docker, Node.js, TensorFlow","Website Development, Blockchain Implementation, API Development",68,Graphic Designer at GHI,2 Months
F10,"React, Big Data, Machine Learning, Tailwind","Machine Learning Model Training, Portfolio Website, Cybersecurity Audit",44,Software Engineer at XYZ,2 Weeks
F11,"Hadoop, Adobe Photoshop, PyTorch","Website Development, Portfolio Website, Branding Strategy",84,"DevOps Engineer at PQR, Graphic Designer at GHI, Software Engineer at XYZ",1 Week
F12,"Bootstrap, Adobe Illustrator, Angular, Graphic Design, UI/UX Design",Cybersecurity Audit,48,Web Developer at DEF,1 Week
F13,"Swift, C++, Kubernetes, Kotlin","Portfolio Website, Machine Learning Model Training",53,"Cloud Engineer at MNO, Full Stack Developer at YZA, Data Analyst at ABC",1 Week
F14,"Flask, Angular",Dashboard Creation,62,SEO Specialist at JKL,1 Week
F15,"Blockchain, Web Development","E-commerce Platform, Social Media Campaign, Machine Learning Model Training",66,"Cloud Engineer at MNO, Machine Learning Engineer at STU",3 Months
